Date,Close price,Open price,High price,Low price,Volume,
21/01/2020,986.37,978.82,986.37,978.82,157.67,
20/01/2020,978.63,978.23,979.85,975.93,148.80,
17/01/2020,978.96,976.28,980.02,973.79,164.14,
16/01/2020,974.31,967.2,974.7,967.17,201.25,
15/01/2020,967.56,967.69,967.69,964.84,150.04,
14/01/2020,967,966.26,968.85,965.76,190.35,
13/01/2020,965.84,966.89,968.63,964.79,147.15,
10/1/2020,968.54,961.17,969.71,961.17,222.16,
9/1/2020,960.15,953.86,960.73,952.16,166.15,
8/1/2020,948.98,954.13,955.84,945.28,319.17,
7/1/2020,958.88,955.79,959.46,953.19,181.63,
6/1/2020,955.79,962.79,963.2,955.59,187.20,
3/1/2020,965.14,968.72,970.88,965.14,174.13,
2/1/2020,966.67,960.26,966.67,959.67,200.60,
31/12/2019,960.99,965.71,965.71,958.22,185.24,
30/12/2019,965.03,962.89,967.52,962.47,177.74,
27/12/2019,963.51,957.7,963.51,954.19,180.52,
26/12/2019,958.59,960.67,962.11,957.43,265.94,
25/12/2019,960.92,958.18,962.83,957.5,238.32,
24/12/2019,958.88,959.43,959.43,953.29,229.67,
23/12/2019,959.43,959.55,960.71,958.07,241.52,
20/12/2019,956.41,953.55,957.52,952.71,243.33,
19/12/2019,952.26,950.61,955.85,946.74,222.47,
18/12/2019,951.13,951.52,954.18,949.86,323.41,
17/12/2019,954.03,962.49,962.79,954.03,280.85,
16/12/2019,961.47,966,966,960.39,278.44,
13/12/2019,966.18,969.43,971.84,965.93,219.16,
12/12/2019,968.17,963.39,968.39,962.72,218.75,
11/12/2019,961.78,960.59,961.78,954.56,216.48,
10/12/2019,960.3,965.92,966.58,955.14,242.73,
9/12/2019,966.06,963.91,967.57,962.59,273.26,
6/12/2019,963.56,962.38,965.41,960.99,171.82,
5/12/2019,963.27,969,969.53,962.16,194.54,
4/12/2019,965.9,952.51,965.9,950.13,210.10,
3/12/2019,953.43,957.4,960.82,950.96,264.94,
2/12/2019,959.31,971.42,972.91,958.3,211.00,
29/11/2019,970.75,971.1,972.89,968.03,167.27,
28/11/2019,970.39,977.66,979.17,967.68,191.26,
27/11/2019,978.17,978.98,982.76,978.17,197.96,
26/11/2019,976.79,976.35,981.96,976.35,192.50,
25/11/2019,976.35,977.85,979.6,971.24,189.32,
22/11/2019,977.78,992.73,993.7,971.03,230.36,
21/11/2019,987.89,999.37,999.63,987.89,215.01,
20/11/2019,"1,000.56","1,009.21","1,009.21","1,000.56",210.31,
19/11/2019,"1,008.35","1,002.89","1,008.35","1,001.35",232.36,
18/11/2019,"1,002.91","1,010.03","1,012.09","1,002.63",184.31,
15/11/2019,"1,010.03","1,012.93","1,015.16","1,005.10",212.33,
14/11/2019,"1,012.30","1,013.85","1,016.71","1,010.60",209.40,
13/11/2019,"1,012.77","1,019.07","1,020.09","1,010.80",286.97,
12/11/2019,"1,018.33","1,016.97","1,021.84","1,015.97",223.16,
11/11/2019,"1,016.75","1,023.32","1,024.77","1,016.35",210.43,
8/11/2019,"1,022.49","1,026.98","1,027.39","1,021.11",181.37,
7/11/2019,"1,024.03","1,023.49","1,028.45","1,022.61",193.39,
6/11/2019,"1,024.91","1,023.43","1,028.97","1,023.42",225.00,
5/11/2019,"1,024.34","1,022.77","1,026.53","1,021.63",199.37,
4/11/2019,"1,022.43","1,019.00","1,023.92","1,015.86",232.79,
1/11/2019,"1,015.59",998.82,"1,015.88",998.82,241.34,
31/10/2019,998.82,"1,000.89","1,004.40",998.58,218.98,
30/10/2019,"1,000.89",996.83,"1,003.40",994.86,181.19,
29/10/2019,995.87,997.77,999.88,995.87,249.48,
28/10/2019,996.48,998.27,999.94,996.48,183.76,
25/10/2019,996.57,993.91,996.67,992.91,173.49,
24/10/2019,993.6,988.85,993.6,987.65,160.03,
23/10/2019,987.79,987.04,989.61,985.52,179.02,
22/10/2019,987.19,983.52,987.59,983.52,231.65,
21/10/2019,983.56,988.18,988.82,983.56,200.33,
18/10/2019,989.2,992,993.03,988.41,174.42,
17/10/2019,989.82,995.04,995.81,989.82,191.55,
16/10/2019,994.46,995.75,997.41,993.42,188.13,
15/10/2019,993.05,993.55,994.75,990.74,179.97,
14/10/2019,993.57,994.61,997.25,992.5,193.98,
11/10/2019,991.84,988.57,991.84,987.62,168.61,
10/10/2019,987.38,988.81,990.89,986.93,182.98,
9/10/2019,987.83,987.82,992,986.74,182.54,
8/10/2019,988.22,983.62,988.51,981.89,178.38,
7/10/2019,983.09,989.45,990.34,983.09,178.90,
4/10/2019,987.59,993.69,994.81,987.59,205.01,
3/10/2019,989.67,985.65,992.45,983.35,140.12,
2/10/2019,991.19,999.18,"1,000.93",989.63,178.78,
1/10/2019,999.59,997.87,999.72,996.2,210.25,
30/09/2019,996.56,999.92,"1,004.17",996.51,176.22,
27/09/2019,997.84,992.26,998.34,991.5,180.74,
26/09/2019,990.75,988.7,991.66,986.35,152.56,
25/09/2019,987.3,985.96,989.18,983.06,171.57,
24/09/2019,988.13,986.33,991.36,984.94,165.04,
23/09/2019,985.75,991.75,993.98,985.75,207.51,
20/09/2019,990.36,997.6,998.56,990.36,203.60,
19/09/2019,997.1,995.49,997.2,990.55,186.92,
18/09/2019,995.15,995.75,998.4,993.94,191.04,
17/09/2019,996.74,990.06,996.74,986.96,231.44,
16/09/2019,989.86,987.07,992.6,986.72,187.15,
13/09/2019,987.22,976.07,987.22,975.95,189.23,
12/9/2019,976.07,972.39,976.07,972.31,141.32,
11/9/2019,969.31,969.59,973.13,967.14,154.51,
10/9/2019,970.26,974.62,977.44,968.36,161.45,
9/9/2019,974.12,974.53,975.03,972.47,155.33,
6/9/2019,974.08,977.83,978.73,973.87,161.16,
5/9/2019,976.79,979.83,981.67,976.79,159.54,
4/9/2019,977.63,977.97,979.91,973.37,157.39,
3/9/2019,979.36,984.79,985.21,978.62,186.48,
30/08/2019,984.06,980.25,984.87,980.25,143.16,
29/08/2019,978.59,978.17,978.78,973.34,138.39,
28/08/2019,977.26,977.1,981.35,977.1,147.21,
27/08/2019,976.79,986.33,988.49,976.79,199.81,
26/08/2019,982.88,983.8,984.61,977,189.79,
23/08/2019,992.45,998.21,998.21,990.83,162.57,
22/08/2019,997.26,996.41,998.67,993.23,153.00,
21/08/2019,994.38,984.36,995.44,983.3,201.56,
20/08/2019,984.67,983.94,985.35,981.75,177.94,
19/08/2019,981.03,984.04,985.48,979.17,158.09,
16/08/2019,980,974.88,985.61,974.88,198.01,
15/08/2019,979.38,958.05,979.38,955.76,182.91,
14/08/2019,968.91,975.88,975.99,968.91,151.49,
13/08/2019,966.83,972.7,973.09,964.03,181.50,
12/8/2019,975.31,975.38,977.63,973.22,174.55,
9/8/2019,974.34,976.41,978.69,974.33,192.31,
8/8/2019,975.24,965.93,975.83,964.21,219.24,
7/8/2019,965.93,967.18,971.96,961.64,219.15,
